,person_id,name,field_goals_made,field_goals_ast,field_goals_missed,times_ball_lost,times_ball_stolen,fouls,games_played,field_goals_blocked,free_throws_made,free_throws_missed,rebounds,points,three-pointers
2222,1630165.0,Killian Hayes,474.0,769.0,792.0,314.0,180.0,415.0,150.0,66.0,124.0,34.0,437.0,137.0,2.0
2223,1630162.0,Anthony Edwards,1540.0,714.0,1942.0,529.0,274.0,459.0,194.0,123.0,650.0,185.0,987.0,128.0,2.0
2224,1630188.0,Jalen Smith,373.0,77.0,399.0,109.0,33.0,221.0,122.0,92.0,150.0,47.0,630.0,101.0,2.0
2225,1630182.0,Josh Green,315.0,174.0,304.0,112.0,93.0,273.0,144.0,19.0,101.0,46.0,362.0,16.0,0.0
2226,1629643.0,Chuma Okeke,375.0,231.0,580.0,105.0,148.0,172.0,132.0,69.0,94.0,25.0,578.0,149.0,1.0
2227,1630175.0,Cole Anthony,758.0,727.0,1100.0,342.0,103.0,391.0,155.0,61.0,438.0,74.0,755.0,156.0,0.0
2228,1630173.0,Precious Achiuwa,518.0,147.0,591.0,170.0,77.0,322.0,168.0,88.0,196.0,138.0,903.0,47.0,0.0
2229,1630169.0,Tyrese Haliburton,1052.0,1389.0,1146.0,401.0,280.0,261.0,177.0,98.0,355.0,62.0,633.0,133.0,0.0
2230,1630267.0,Facundo Campazzo,221.0,442.0,373.0,140.0,143.0,248.0,126.0,36.0,132.0,29.0,245.0,162.0,0.0
2231,1630193.0,Immanuel Quickley,794.0,580.0,1137.0,216.0,134.0,395.0,200.0,24.0,449.0,72.0,632.0,150.0,0.0
2232,1630167.0,Obi Toppin,457.0,143.0,480.0,102.0,56.0,205.0,176.0,55.0,134.0,40.0,529.0,44.0,0.0
2233,1630202.0,Payton Pritchard,416.0,294.0,558.0,119.0,72.0,193.0,172.0,12.0,72.0,9.0,348.0,138.0,1.0
2234,1630201.0,Malachi Flynn,258.0,263.0,425.0,69.0,72.0,159.0,123.0,14.0,69.0,24.0,230.0,164.0,1.0
2235,1630179.0,Tyrell Terry,6.0,6.0,10.0,1.0,5.0,3.0,11.0,0.0,1.0,2.0,6.0,76.0,2.0
2236,1630174.0,Aaron Nesmith,331.0,111.0,450.0,102.0,73.0,335.0,147.0,35.0,124.0,21.0,414.0,146.0,1.0
2237,1629670.0,Jordan Nwora,357.0,121.0,505.0,124.0,61.0,143.0,130.0,34.0,97.0,24.0,425.0,9.0,2.0
2238,1630241.0,Sam Merrill,36.0,23.0,49.0,11.0,7.0,17.0,30.0,1.0,6.0,2.0,31.0,3237.0,13.0
2239,1630210.0,Markus Howard,78.0,23.0,127.0,24.0,13.0,40.0,55.0,1.0,25.0,5.0,31.0,8.0,0.0
2240,1630199.0,Cassius Stanley,32.0,5.0,55.0,6.0,6.0,31.0,30.0,4.0,17.0,2.0,38.0,133.0,1.0
2241,1630197.0,Aleksej Pokusevski,400.0,268.0,635.0,215.0,72.0,184.0,127.0,109.0,78.0,36.0,637.0,94.0,1.0
2242,1630177.0,Theo Maledon,398.0,408.0,654.0,229.0,111.0,219.0,144.0,28.0,221.0,58.0,405.0,38.0,2.0
2243,1630256.0,Jae'Sean Tate,719.0,426.0,731.0,259.0,153.0,572.0,164.0,70.0,248.0,108.0,827.0,26.0,0.0
2244,1630271.0,Brodric Thomas,44.0,40.0,76.0,26.0,16.0,45.0,39.0,11.0,29.0,15.0,63.0,165.0,0.0
2245,1629751.0,Dakota Mathias,21.0,14.0,33.0,1.0,2.0,8.0,13.0,3.0,2.0,4.0,9.0,8.0,1.0
2246,1630198.0,Isaiah Joe,258.0,117.0,375.0,53.0,58.0,146.0,137.0,11.0,91.0,19.0,209.0,65.0,0.0
2247,1630205.0,Lamar Stevens,314.0,90.0,349.0,82.0,65.0,226.0,143.0,46.0,122.0,49.0,413.0,180.0,2.0
2248,1630187.0,Daniel Oturu,25.0,10.0,33.0,9.0,4.0,26.0,26.0,10.0,12.0,5.0,53.0,123.0,1.0
2249,1630218.0,Robert Woodard II,10.0,5.0,26.0,1.0,1.0,7.0,23.0,4.0,5.0,5.0,27.0,52.0,1.0
2250,1630186.0,Jahmi'us Ramsey,39.0,13.0,57.0,8.0,5.0,18.0,27.0,2.0,12.0,7.0,23.0,3657.0,23.0
2251,1630234.0,Ty-Shon Alexander,3.0,6.0,9.0,3.0,0.0,2.0,13.0,1.0,1.0,1.0,10.0,87.0,2.0
2252,1630180.0,Saddiq Bey,998.0,414.0,1457.0,206.0,176.0,343.0,208.0,42.0,518.0,91.0,1016.0,65.0,0.0
2253,1630191.0,Isaiah Stewart,649.0,207.0,644.0,214.0,78.0,534.0,182.0,190.0,235.0,94.0,1418.0,164.0,3.0
2254,1630183.0,Jaden McDaniels,666.0,271.0,722.0,195.0,128.0,582.0,183.0,167.0,142.0,56.0,726.0,1428.0,14.0
2255,1630184.0,Kira Lewis Jr.,217.0,181.0,318.0,68.0,57.0,120.0,91.0,12.0,66.0,13.0,127.0,182.0,0.0
2256,1630221.0,Josh Hall,29.0,28.0,65.0,25.0,4.0,34.0,20.0,1.0,22.0,20.0,58.0,111.0,0.0
2257,1630264.0,Anthony Gill,142.0,59.0,111.0,33.0,19.0,136.0,103.0,22.0,87.0,22.0,194.0,194.0,1.0
2258,1630253.0,Sean McDermott,12.0,4.0,19.0,4.0,1.0,6.0,11.0,3.0,6.0,0.0,18.0,6091.0,23.0
2259,1630176.0,Vernon Carey Jr.,26.0,5.0,26.0,7.0,4.0,17.0,29.0,8.0,16.0,9.0,48.0,439.0,1.0
2260,1630200.0,Tre Jones,457.0,593.0,540.0,151.0,116.0,166.0,147.0,15.0,200.0,36.0,350.0,221.0,1.0
2261,1630211.0,Karim Mane,3.0,4.0,10.0,3.0,0.0,10.0,8.0,2.0,4.0,1.0,14.0,235.0,0.0
2262,1630208.0,Nick Richards,217.0,43.0,130.0,74.0,19.0,179.0,107.0,76.0,147.0,54.0,410.0,118.0,1.0
2263,1629653.0,Devon Dotson,23.0,30.0,31.0,8.0,10.0,22.0,27.0,0.0,5.0,4.0,24.0,87.0,2.0
2264,1630181.0,R.J. Hampton,350.0,263.0,513.0,161.0,78.0,184.0,135.0,26.0,163.0,77.0,399.0,3270.0,12.0
2265,1630214.0,Xavier Tillman,370.0,196.0,324.0,103.0,127.0,247.0,150.0,67.0,111.0,71.0,621.0,167.0,2.0
2266,1630207.0,Nate Hinton,15.0,8.0,28.0,6.0,7.0,8.0,18.0,2.0,7.0,3.0,9.0,120.0,1.0
2267,1630185.0,Nico Mannion,37.0,70.0,74.0,30.0,14.0,27.0,28.0,1.0,23.0,5.0,44.0,30.0,0.0
2268,1630194.0,Paul Reed,170.0,40.0,135.0,54.0,72.0,177.0,102.0,64.0,31.0,17.0,322.0,95.0,1.0
2269,1630235.0,Trent Forrest,129.0,179.0,139.0,75.0,44.0,81.0,100.0,12.0,58.0,10.0,167.0,67.0,0.0
2270,1630240.0,Saben Lee,205.0,333.0,269.0,113.0,83.0,145.0,104.0,26.0,153.0,54.0,221.0,87.0,0.0
2271,1630223.0,Jalen Harris,36.0,17.0,36.0,14.0,8.0,14.0,13.0,0.0,7.0,2.0,18.0,186.0,1.0
2272,1630222.0,Mason Jones,57.0,46.0,75.0,29.0,9.0,29.0,33.0,1.0,51.0,27.0,61.0,73.0,0.0
2273,1630231.0,Kenyon Martin Jr.,739.0,245.0,626.0,168.0,94.0,320.0,182.0,104.0,250.0,124.0,874.0,104.0,0.0
2274,1630192.0,Zeke Nnaji,219.0,38.0,192.0,47.0,35.0,181.0,115.0,34.0,79.0,42.0,290.0,146.0,2.0
2275,1630189.0,Tyler Bey,7.0,3.0,15.0,3.0,0.0,6.0,16.0,1.0,3.0,2.0,19.0,61.0,0.0
2276,1630168.0,Onyeka Okongwu,487.0,136.0,262.0,134.0,99.0,453.0,155.0,170.0,216.0,86.0,888.0,2099.0,14.0
2277,1630230.0,Naji Marshall,374.0,288.0,531.0,159.0,97.0,218.0,140.0,25.0,223.0,68.0,493.0,23.0,0.0
2278,1629686.0,Deividas Sirvydis,15.0,6.0,35.0,5.0,5.0,13.0,19.0,1.0,3.0,3.0,35.0,89.0,2.0
2279,1630216.0,Cassius Winston,18.0,18.0,25.0,8.0,2.0,16.0,22.0,1.0,9.0,1.0,10.0,94.0,1.0
2280,1630204.0,Ashton Hagans,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.0,0.0
2281,204222.0,Greg Whittington,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,36.0,2.0
2282,1629681.0,Killian Tillie,58.0,27.0,117.0,14.0,25.0,75.0,48.0,23.0,14.0,5.0,82.0,107.0,0.0
2283,1630237.0,Anthony Lamb,160.0,108.0,198.0,64.0,26.0,151.0,73.0,20.0,48.0,13.0,230.0,104.0,2.0
